日期  ,时间  ,纬度  ,经度  ,速率 , 卫星 ,海拔  
17年 05月 10日, 9时32分 38秒, 4047.533,111.41.856, 012.2,05,1108m
  17年 05月 10日, 9时32分 39秒, 4047.532,111.41.852, 011.3,05,1106m
  17年 05月 10日, 9时32分 39秒, 4047.532,111.41.852, 011.3,05,1106m
  17年 05月 10日, 9时32分 41秒, 4047.557,111.41.837, 012.3,06,1181m
  17年 05月 10日, 9时32分 42秒, 4047.563,111.41.830, 012.2,06,1199m
  17年 05月 10日, 9时32分 43秒, 4047.561,111.41.826, 014.2,06,1195m
  17年 05月 10日, 9时32分 44秒, 4047.560,111.41.821, 014.5,06,1194m
  17年 05月 10日, 9时32分 45秒, 4047.559,111.41.815, 014.7,06,1192m
  17年 05月 10日, 9时32分 46秒, 4047.560,111.41.810, 014.6,06,1194m
  17年 05月 10日, 9时32分 47秒, 4047.558,111.41.806, 013.9,06,1195m
  17年 05月 10日, 9时32分 48秒, 4047.558,111.41.800, 014.7,06,1196m
  17年 05月 10日, 9时32分 49秒, 4047.555,111.41.796, 014.9,07,1184m
  17年 05月 10日, 9时32分 50秒, 4047.551,111.41.791, 014.5,07,1174m
  17年 05月 10日, 9时32分 51秒, 4047.549,111.41.787, 012.9,07,1167m
  17年 05月 10日, 9时32分 52秒, 4047.547,111.41.783, 011.1,08,1162m
  17年 05月 10日, 9时32分 53秒, 4047.548,111.41.779, 010.7,08,1159m
  17年 05月 10日, 9时32分 54秒, 4047.547,111.41.776, 009.6,08,1151m
  17年 05月 10日, 9时32分 55秒, 4047.547,111.41.771, 009.3,08,1147m
  17年 05月 10日, 9时32分 56秒, 4047.549,111.41.769, 011.0,08,1147m
  17年 05月 10日, 9时32分 57秒, 4047.552,111.41.767, 013.1,08,1147m
  17年 05月 10日, 9时32分 58秒, 4047.556,111.41.766, 016.3,08,1146m
  17年 05月 10日, 9时32分 59秒, 4047.560,111.41.764, 018.5,08,1145m
  17年 05月 10日, 9时33分 00秒, 4047.565,111.41.762, 020.1,08,1144m
  17年 05月 10日, 9时33分 01秒, 4047.571,111.41.759, 022.2,08,1144m
  17年 05月 10日, 9时33分 02秒, 4047.577,111.41.757, 022.7,08,1143m
  17年 05月 10日, 9时33分 03秒, 4047.583,111.41.754, 023.3,08,1142m
  17年 05月 10日, 9时33分 04秒, 4047.589,111.41.751, 022.5,08,1142m
  17年 05月 10日, 9时33分 05秒, 4047.595,111.41.748, 022.2,08,1142m
  17年 05月 10日, 9时33分 06秒, 4047.601,111.41.746, 021.9,08,1142m
  17年 05月 10日, 9时33分 07秒, 4047.607,111.41.743, 021.4,08,1142m
  17年 05月 10日, 9时33分 08秒, 4047.613,111.41.741, 020.6,08,1141m
  17年 05月 10日, 9时33分 09秒, 4047.618,111.41.738, 018.8,08,1142m
  17年 05月 10日, 9时33分 10秒, 4047.623,111.41.737, 016.5,08,1141m
